major,year,semester,class name
"• 
Economics, B.A.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Economics, B.A.",1,Fall,ECON 200 - Principles of Microeconomics
"• 
Economics, B.A.",1,Spring,MGSC 209 - Introductory Business Statistics
"• 
Economics, B.A.",1,Spring,ECON 201 - Principles of Macroeconomics
"• 
Economics, B.A.",2,Fall,MGSC 220 - Foundations of Business Analytics
"• 
Economics, B.A.",2,Fall,ECON 204 - Seminar in Ethics and Economic Thought
"• 
Economics, B.A.",2,Spring,ECON 350 - Intermediate Microeconomics Theory
"• 
Economics, B.A.",3,Fall,ECON 351 - Intermediate Macroeconomic Theory
"• 
Economics, B.A.",3,Spring,ECON 452 - Econometrics
"• 
Economics, B.A.",4,Fall,ECON 357 - Topics in Humanomics
"• 
Economics, B.A.",4,Fall,ECON 374 - European Economic History
"• 
Accounting, B.S.",1,Fall,MATH 109 - Calculus with Applications in Business and Social Science
"• 
Accounting, B.S.",1,Fall,ECON 200 - Principles of Microeconomics
"• 
Accounting, B.S.",1,Spring,ECON 201 - Principles of Macroeconomics
"• 
Accounting, B.S.",1,Spring,ACTG 210 - Introduction to Financial Accounting
"• 
Accounting, B.S.",1,Spring,COM 219 - Business and Professional Communication for Business Majors
"• 
Accounting, B.S.",2,Fall,ACTG 211 - Introduction to Managerial Accounting
"• 
Accounting, B.S.",2,Fall,MGSC 209 - Introductory Business Statistics
"• 
Accounting, B.S.",2,Fall,BUS 216 - Business Ethics
"• 
Accounting, B.S.",2,Spring,MGSC 220 - Foundations of Business Analytics
"• 
Accounting, B.S.",2,Spring,BUS 215 - Legal Environment of Business
"• 
Accounting, B.S.",3,Fall,ACTG 330 - Intermediate Financial Accounting I
"• 
Accounting, B.S.",3,Fall,ACTG 320 - Cost Accounting I
"• 
Accounting, B.S.",3,Fall,MGMT 316 - Management of Organizations
"• 
Accounting, B.S.",3,Spring,ACTG 331 - Intermediate Financial Accounting II
"• 
Accounting, B.S.",3,Spring,ACTG 339 - Accounting Information Systems
"• 
Accounting, B.S.",3,Spring,FIN 317 - Financial Management
"• 
Accounting, B.S.",3,Spring,MKTG 304 - Marketing
"• 
Accounting, B.S.",4,Fall,ACTG 440 - Accounting for Investments and Consolidations
"• 
Accounting, B.S.",4,Fall,ACTG 450 - Individual Taxation
"• 
Accounting, B.S.",4,Fall,ACTG 460 - Auditing
"• 
Accounting, B.S.",4,Fall,MGSC 346 - Production and Operations Management
"• 
Accounting, B.S.",4,Spring,BUS 475 - Business Policy: An International Perspective
"• 
Accounting, B.S.",4,Spring,ACTG 451 - Taxation of Corporations and Other Entities
"• 
Accounting, B.S.",4,Spring,"ACTG 441 - Not-For Profit and Government Accounting, and International Accounting"
"• 
Accounting, B.S.",4,Spring,ACTG 461 - Accounting Analytics
"• 
Business Administration, B.S.",1,Fall,MATH 109 - Calculus with Applications in Business and Social Science
"• 
Business Administration, B.S.",1,Fall,ECON 200 - Principles of Microeconomics
"• 
Business Administration, B.S.",1,Spring,ECON 201 - Principles of Macroeconomics
"• 
Business Administration, B.S.",1,Spring,ACTG 210 - Introduction to Financial Accounting
"• 
Business Administration, B.S.",1,Spring,COM 219 - Business and Professional Communication for Business Majors
"• 
Business Administration, B.S.",2,Fall,ACTG 211 - Introduction to Managerial Accounting
"• 
Business Administration, B.S.",2,Fall,MGSC 209 - Introductory Business Statistics
"• 
Business Administration, B.S.",2,Fall,BUS 216 - Business Ethics
"• 
Business Administration, B.S.",2,Spring,MGSC 220 - Foundations of Business Analytics
"• 
Business Administration, B.S.",2,Spring,BUS 215 - Legal Environment of Business
"• 
Business Administration, B.S.",3,Fall,MGMT 316 - Management of Organizations
"• 
Business Administration, B.S.",3,Fall,MKTG 304 - Marketing
"• 
Business Administration, B.S.",3,Fall,MGSC 300 - Management Information Systems
"• 
Business Administration, B.S.",3,Spring,MGSC 346 - Production and Operations Management
"• 
Business Administration, B.S.",3,Spring,FIN 317 - Financial Management
"• 
Business Administration, B.S.",4,Spring,BUS 475 - Business Policy: An International Perspective
"• 
Community Educational Studies, B.A.",1,Fall,CES 101 - Community Engagement through Service Learning
"• 
Community Educational Studies, B.A.",1,Fall,CES 102 - Social Construction of Difference
"• 
Community Educational Studies, B.A.",1,Fall,CES 103 - Helping Professions
"• 
Community Educational Studies, B.A.",1,Spring,CES 101
"• 
Community Educational Studies, B.A.",1,Spring,CES 102
"• 
Community Educational Studies, B.A.",1,Spring,CES 103
"• 
Community Educational Studies, B.A.",2,Fall,CES 204 - Exploring Theories of Learning
"• 
Community Educational Studies, B.A.",2,Fall,CES 206 - Schools in Society
"• 
Community Educational Studies, B.A.",2,Fall,CES 203 - Introduction to Research Methods in Education
"• 
Community Educational Studies, B.A.",2,Fall,CES 295 - Community Fieldwork
"• 
Community Educational Studies, B.A.",2,Spring,CES 204
"• 
Community Educational Studies, B.A.",2,Spring,CES 206
"• 
Community Educational Studies, B.A.",2,Spring,CES 203
"• 
Community Educational Studies, B.A.",2,Spring,CES 295
"• 
Community Educational Studies, B.A.",3,Fall,"CES 301 - Organization, Ethics, and Society"
"• 
Community Educational Studies, B.A.",3,Fall,"CES 302 - Family, School, and Community Partnerships"
"• 
Community Educational Studies, B.A.",3,Fall,"CES 314 - Adult Learning: Theory, Practice, Experience and the Future"
"• 
Community Educational Studies, B.A.",3,Spring,CES 301
"• 
Community Educational Studies, B.A.",3,Spring,CES 302
"• 
Community Educational Studies, B.A.",3,Spring,CES 314
"• 
Community Educational Studies, B.A.",4,Fall,CES 315 - Non-Governmental Organizations: Policy and Practice
"• 
Community Educational Studies, B.A.",4,Fall,LEAD 315 - Diversity and Inclusion in Leadership
"• 
Psychology, B.A.",1,Fall,PSY 101 - Introduction to Psychology
"• 
Psychology, B.A.",1,Spring,PSY 201 - Critical Thinking
"• 
Psychology, B.A.",2,Fall,PSY 203 - Statistics for Behavioral Sciences
"• 
Psychology, B.A.",2,Spring,"PSY 204 - Research Methods in the Behavioral Science, Lecture and Laboratory"
"• 
Psychology, B.A.",3,Fall,PSY 333 - Physiological Psychology
"• 
Psychology, B.A.",4,Fall,PSY 496 - Senior Project: Individual Research
"• 
Psychology, B.A.",4,Fall,PSY 497a - Senior Thesis
"• 
Psychology, B.A.",4,Fall,PSY 498 - Senior Seminar in Psychological Topics
"• 
Psychology, B.A.",4,Spring,PSY 496
"• 
Psychology, B.A.",4,Spring,PSY 497b - Senior Thesis
"• 
Psychology, B.A.",4,Spring,PSY 498
"• 
Health Sciences, B.S.",1,Fall,BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I)
"• 
Health Sciences, B.S.",1,Fall,"BIOL 204L - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I), Lab"
"• 
Health Sciences, B.S.",1,Fall,CHEM 140 - General Chemistry I
"• 
Health Sciences, B.S.",1,Fall,CHEM 140L - General Chemistry I Laboratory
"• 
Health Sciences, B.S.",1,Fall,HSCI 101 - Introduction to Health Care Professions
"• 
Health Sciences, B.S.",1,Spring,BIOL 205 - Evolution and Diversity of Multicellular Organisms (Gen Biol II)
"• 
Health Sciences, B.S.",1,Spring,"BIOL 205L - Evolution and Diversity of Multicellular Organisms (Gen Biol II), Lab"
"• 
Health Sciences, B.S.",1,Spring,"BIOL 208 - Introduction to Molecular Genetics, Lecture and Laboratory"
"• 
Health Sciences, B.S.",1,Spring,CHEM 150 - General Chemistry II
"• 
Health Sciences, B.S.",1,Spring,CHEM 150L - General Chemistry II Laboratory
"• 
Health Sciences, B.S.",2,Fall,MATH 203 - Introduction to Statistics
"• 
Health Sciences, B.S.",2,Fall,PSY 203 - Statistics for Behavioral Sciences
"• 
Health Sciences, B.S.",2,Spring,"HSCI 210 - Human Anatomy, Lecture and Laboratory"
"• 
Health Sciences, B.S.",3,Fall,HSCI 365 - Human Physiology Part A
"• 
Health Sciences, B.S.",3,Spring,"HSCI 366 - Human Physiology Part B, Lecture and Laboratory"
"• 
Health Sciences, B.S.",4,Spring,HSCI 498 - Health Sciences Capstone
"• 
Film and Media Studies, B.A.",1,Fall,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Film and Media Studies, B.A.",1,Fall,"FS 244 - History of Film to 1959, Lecture and Laboratory"
"• 
Film and Media Studies, B.A.",1,Spring,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Film and Media Studies, B.A.",1,Spring,FS 245 - History of Film 1960
"• 
Film and Media Studies, B.A.",2,Fall,"FS 241 - Film Analysis, Lecture and Laboratory"
"• 
Film and Media Studies, B.A.",2,Fall,TWP 246 - History of Television
"• 
Film and Media Studies, B.A.",2,Spring,FS 342 - Film Genre and Auteur Studies
"• 
Film and Media Studies, B.A.",3,Fall,FS 443 - Advanced Topics in World Cinema
"• 
Film and Media Studies, B.A.",3,Fall,"FS 445 - Film Theory and Criticism, Lecture and Laboratory"
"• 
Film and Media Studies, B.A.",3,Spring,FS 455 - The Practices of Writing about Film
"• 
Film and Media Studies, B.A.",3,Spring,FS 342 - Film Genre and Auteur Studies
"• 
Film and Media Studies, B.A.",3,Spring,FS 443
"• 
Film and Media Studies, B.A.",4,Spring,FS 498 - Film and Media Studies Capstone Seminar
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Fall,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Fall,PRA 219 - Principles of Entertainment Marketing
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Fall,PRA 230 - Principles of Advertising
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Fall,PRA 231 - Principles of Public Relations
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Spring,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Spring,PRA 219
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Spring,PRA 230
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",1,Spring,PRA 231
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",2,Fall,PRA 245 - Research and Strategic Planning for Advertising and Public Relations
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",2,Spring,MKTG 305 - Fundamentals of Marketing for Non-Majors
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",2,Spring,PRA 371 - Writing for Public Relations
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Fall,PRA 305 - Design Strategy
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Fall,PRA 343 - Media Relations
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Fall,PRA 420 - Producing Commercials
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Spring,PRA 370 - Digital Marketing
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Spring,PRA 461 - Case Studies in Advertising
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Spring,PRA 469 - Case Studies in Entertainment Marketing
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",3,Spring,PRA 470 - Public Relations Case Studies
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",4,Fall,PRA 419 - Entertainment Marketing Campaigns
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",4,Fall,PRA 498 - Public Relations Campaigns
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",4,Spring,PRA 497 - Advertising Campaigns
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",4,Spring,PRA 419
"• 
Public Relations, Advertising and Entertainment Marketing, B.A.",4,Spring,PRA 419
"• 
Animation and Visual Effects, B.F.A.",1,Fall,AVE 109 - Fundamental Graphics I for Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",1,Fall,AVE 206 - Mechanics of Motion
"• 
Animation and Visual Effects, B.F.A.",1,Fall,SW 127 - Writing for Film and TV I
"• 
Animation and Visual Effects, B.F.A.",1,Fall,AVE 247 - History and Aesthetics of Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",1,Spring,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Animation and Visual Effects, B.F.A.",1,Spring,AVE 120 - Introduction to Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",1,Spring,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Animation and Visual Effects, B.F.A.",1,Spring,AVE 209 - Fundamental Graphics II for Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",2,Fall,AVE 202A - 2D Computer Graphics I
"• 
Animation and Visual Effects, B.F.A.",2,Fall,AVE 249 - Storytelling in Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",2,Fall,AVE 357 - Writing for Animation
"• 
Animation and Visual Effects, B.F.A.",2,Fall,AVE 256A - Beginning Character Animation for 2D
"• 
Animation and Visual Effects, B.F.A.",2,Spring,AVE 302A - 2D Computer Graphics II
"• 
Animation and Visual Effects, B.F.A.",2,Spring,AVE 354 - Storyboarding and Story Reels
"• 
Animation and Visual Effects, B.F.A.",2,Spring,AVE 310 - Animation and Visual Effects: Evenings with the Experts
"• 
Animation and Visual Effects, B.F.A.",2,Spring,AVE 356A - Intermediate Character Animation for 2D
"• 
Animation and Visual Effects, B.F.A.",3,Fall,AVE 323 - Color and Design: Principles and Practice
"• 
Animation and Visual Effects, B.F.A.",3,Fall,AVE 454 - Advanced Storyboards and Character Layout
"• 
Animation and Visual Effects, B.F.A.",3,Fall,AVE 309 - Figure Drawing for Animators
"• 
Animation and Visual Effects, B.F.A.",3,Spring,AVE 355 - Production Design for Animation and Visual Effects
"• 
Animation and Visual Effects, B.F.A.",3,Spring,AVE 385 - Character Design
"• 
Animation and Visual Effects, B.F.A.",3,Spring,AVE 496 - Senior Thesis I: Concept Development
"• 
Animation and Visual Effects, B.F.A.",4,Fall,AVE 497 - Senior Thesis II: Pre-Production and Production I
"• 
Animation and Visual Effects, B.F.A.",4,Spring,AVE 498 - Senior Thesis III: Production II and Post-Production
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 133 - Audio Techniques
"• 
Animation and Visual Effects, B.F.A.",4,Spring,CPSC 230 - Computer Science I
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 237 - Cinematography I
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 293 - Production Design I
"• 
Animation and Visual Effects, B.F.A.",4,Spring,AVE 329 - Experimental Course
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 333 - Audio Design
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 481 - Set Decoration
"• 
Animation and Visual Effects, B.F.A.",4,Spring,FP 486 - Costume Design
"• 
Animation and Visual Effects, B.F.A.",4,Spring,SW 155 - Short-Form Film and TV Analysis
"• 
Animation and Visual Effects, B.F.A.",4,Spring,HON 373 - Pinocchio & Co: The Puppet Across Media
"• 
Broadcast Journalism and Documentary, B.F.A.",1,Fall,BRJL 103 - Broadcast News I
"• 
Broadcast Journalism and Documentary, B.F.A.",1,Fall,TWP 114 - Introduction to Television Production: Studio
"• 
Broadcast Journalism and Documentary, B.F.A.",1,Fall,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Broadcast Journalism and Documentary, B.F.A.",1,Spring,DOC 116 - Introduction to Television Production: Location
"• 
Broadcast Journalism and Documentary, B.F.A.",1,Spring,BRJL 232 - Electronic Cinematography for Broadcast Journalism and Documentary
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Fall,FP 115 - Editing I
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Fall,FP 133 - Audio Techniques
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Fall,TWP 246 - History of Television
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Fall,DOC 321 - The Documentary Tradition
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Fall,BRJL 340 - Journalism in the 21st Century
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Spring,BRJL 204 - Broadcast and Online Newswriting
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Spring,DOC 341 - Investigative Journalism
"• 
Broadcast Journalism and Documentary, B.F.A.",2,Spring,DOC 335 - Documentary Production
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Fall,BRJL 310 - Television and Online News Reporting
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Fall,DOC 363 - Writing the Documentary
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Fall,TWP 311 - Advanced Multi-Camera TV Production
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Fall,DOC 378 - Documentary Editing
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Spring,BRJL 305 - Social Media Mobile Journalism
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Spring,BRJL 307 - Mass Media Law and Ethics
"• 
Broadcast Journalism and Documentary, B.F.A.",3,Spring,DOC 336 - Advanced Documentary Production
"• 
Broadcast Journalism and Documentary, B.F.A.",4,fall,BRJL 432 - Producing the Newscast
"• 
Broadcast Journalism and Documentary, B.F.A.",4,fall,"DOC 496 - Documentary Pre-Production, Senior Thesis I"
"• 
Broadcast Journalism and Documentary, B.F.A.",4,spring,"DOC 497 - Documentary Post-Production, Senior Thesis II"
"• 
Broadcast Journalism and Documentary, B.F.A.",4,spring,BRJL 431 - Producing the TV News Magazine
"• 
Creative Producing, B.F.A.",1,Fall,CRPR 110 - Filmmaking Fundamentals for Producers
"• 
Creative Producing, B.F.A.",1,Fall,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Creative Producing, B.F.A.",1,Spring,SW 127 - Writing for Film and TV I
"• 
Creative Producing, B.F.A.",1,Spring,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Creative Producing, B.F.A.",2,Fall,CRPR 234 - Introduction to Production and Set Management
"• 
Creative Producing, B.F.A.",2,Fall,"FS 244 - History of Film to 1959, Lecture and Laboratory"
"• 
Creative Producing, B.F.A.",2,Fall,CRPR 307 - Overview of Producing
"• 
Creative Producing, B.F.A.",2,Spring,FS 245 - History of Film 1960
"• 
Creative Producing, B.F.A.",2,Spring,SW 297 - Short Script Workshop
"• 
Creative Producing, B.F.A.",2,Spring,CRPR 312 - Entertainment Law
"• 
Creative Producing, B.F.A.",3,Fall,TWP 310 - The New Era of Television
"• 
Creative Producing, B.F.A.",3,Fall,CRPR 317 - Creative Producing and Development
"• 
Creative Producing, B.F.A.",3,Fall,CRPR 334 - Advanced Production and Post Production Management
"• 
Creative Producing, B.F.A.",3,Fall,SW 357 - Scripted Story Analysis
"• 
Creative Producing, B.F.A.",3,Spring,FP 424 - Senior Thesis Development
"• 
Creative Producing, B.F.A.",3,Spring,CRPR 430 - Entertainment Marketing And Distribution For Producers
"• 
Creative Producing, B.F.A.",3,Spring,CRPR 467 - Production Financing
"• 
Creative Producing, B.F.A.",4,Fall,CRPR 494 - Senior Project: Creative Development Portfolio
"• 
Creative Producing, B.F.A.",4,Fall,CRPR 497 - Creative Producing Senior Thesis Workshop I
"• 
Creative Producing, B.F.A.",4,Spring,FTV 490 - Independent Internship
"• 
Creative Producing, B.F.A.",4,Spring,CRPR 498 - Creative Producing Senior Thesis Workshop II
"• 
Film and Television Production, B.F.A.",1,Fall,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Film and Television Production, B.F.A.",1,Fall,"FS 244 - History of Film to 1959, Lecture and Laboratory"
"• 
Film and Television Production, B.F.A.",1,Fall,SW 127 - Writing for Film and TV I
"• 
Film and Television Production, B.F.A.",1,Fall,CRPR 234 - Introduction to Production and Set Management
"• 
Film and Television Production, B.F.A.",1,Spring,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Film and Television Production, B.F.A.",1,Spring,FP 133 - Audio Techniques
"• 
Film and Television Production, B.F.A.",1,Spring,FP 237 - Cinematography I
"• 
Film and Television Production, B.F.A.",2,Fall,FP 115 - Editing I
"• 
Film and Television Production, B.F.A.",2,Fall,FP 239 - Directing I
"• 
Film and Television Production, B.F.A.",2,Fall,TWP 246 - History of Television
"• 
Film and Television Production, B.F.A.",2,Fall,FP 280 - Intermediate Production Workshop
"• 
Film and Television Production, B.F.A.",2,Fall,TWP 114 - Introduction to Television Production: Studio
"• 
Film and Television Production, B.F.A.",2,Spring,FS 245 - History of Film 1960
"• 
Film and Television Production, B.F.A.",2,Spring,FP 337 - Cinematography II
"• 
Film and Television Production, B.F.A.",2,Spring,FP 293 - Production Design I
"• 
Film and Television Production, B.F.A.",4,Fall,SW 357 - Scripted Story Analysis
"• 
Film and Television Production, B.F.A.",4,Fall,VRAR 494 - Advanced VR/AR Workshop
"• 
Film and Television Production, B.F.A.",4,Fall,TWP 495 - Short Form Television I
"• 
Film and Television Production, B.F.A.",4,Fall,"DOC 496 - Documentary Pre-Production, Senior Thesis I"
"• 
Film and Television Production, B.F.A.",4,Fall,FP 497A - Cinematography Senior Thesis Workshop I
"• 
Film and Television Production, B.F.A.",4,Spring,TWP 496 - Short Form Television II
"• 
Film and Television Production, B.F.A.",4,Spring,TWP 488 - Pilot Production
"• 
Film and Television Production, B.F.A.",4,Spring,"DOC 497 - Documentary Post-Production, Senior Thesis II"
"• 
Film and Television Production, B.F.A.",4,Spring,FP 498A - Cinematography Senior Thesis Workshop II
"• 
Screen Acting, B.F.A.",1,Fall,TH 105 - Theatre Practicum
"• 
Screen Acting, B.F.A.",1,Fall,TH 111 - Introduction to Performing Techniques
"• 
Screen Acting, B.F.A.",1,Fall,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory"
"• 
Screen Acting, B.F.A.",1,Fall,TH 170 - Creating Theatre: From Page to Stage
"• 
Screen Acting, B.F.A.",1,Spring,TH 112 - Acting Fundamentals
"• 
Screen Acting, B.F.A.",1,Spring,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory"
"• 
Screen Acting, B.F.A.",1,Spring,TH 105
"• 
Screen Acting, B.F.A.",2,Fall,FP 115 - Editing I
"• 
Screen Acting, B.F.A.",2,Fall,TH 218 - Character Building for Performance
"• 
Screen Acting, B.F.A.",2,Fall,SW 127 - Writing for Film and TV I
"• 
Screen Acting, B.F.A.",2,Fall,TH 230 - Screen Acting I
"• 
Screen Acting, B.F.A.",2,Fall,FP 239 - Directing I
"• 
Screen Acting, B.F.A.",2,Fall,"FS 244 - History of Film to 1959, Lecture and Laboratory"
"• 
Screen Acting, B.F.A.",2,Spring,FS 245 - History of Film 1960
"• 
Screen Acting, B.F.A.",2,Spring,TWP 320 - Narrative Television Workshop
"• 
Screen Acting, B.F.A.",3,Fall,FP 280 - Intermediate Production Workshop
"• 
Screen Acting, B.F.A.",3,Fall,TH 283 - Voice Production and Techniques I
"• 
Screen Acting, B.F.A.",3,Fall,TH 379 - Text Analysis and Scene Study for Performance
"• 
Screen Acting, B.F.A.",3,Spring,TH 211 - Movement for the Performer
"• 
Screen Acting, B.F.A.",3,Spring,TH 230 - Screen Acting I
"• 
Screen Acting, B.F.A.",4,Fall,TH 321 - Meisner Technique
"• 
Screen Acting, B.F.A.",4,Fall,SCAC 480A - The Business of Acting for Screen Actors I
